yr,mon,arr_hour,max,min,mean,count,prop,q25,q75
2003,1,0,1435,0,0.0,3819,0.17255826132495417,0.0,7.0
2003,1,1,134,0,0.0,654,0.1636085626911315,0.0,8.0
2003,1,2,196,0,0.0,246,0.1991869918699187,0.0,10.0
2003,1,4,78,0,0.0,207,0.1111111111111111,0.0,5.0
2003,1,5,806,0,0.0,3594,0.09488035614913745,0.0,2.0
2003,1,6,390,0,0.0,4633,0.09367580401467732,0.0,3.0
2003,1,7,964,0,0.0,14282,0.09578490407505952,0.0,3.0
2003,1,8,785,0,0.0,22564,0.12320510547775217,0.0,4.0
2003,1,9,548,0,0.0,28889,0.1280071999723078,0.0,5.0
2003,1,10,783,0,0.0,34642,0.13480745915362854,0.0,5.0
2003,1,11,798,0,0.0,34895,0.1307350623298467,0.0,5.0
2003,1,12,988,0,0.0,33865,0.13102022737339436,0.0,5.0
2003,1,13,494,0,0.0,33797,0.130189070035802,0.0,5.0
2003,1,14,493,0,0.0,36537,0.13276952130716807,0.0,5.0
2003,1,15,1098,0,0.0,32871,0.14696845243527729,0.0,5.0
2003,1,16,1044,0,0.0,39498,0.15866626158286495,0.0,7.0
2003,1,17,1154,0,0.0,37975,0.16305464121132324,0.0,7.0
2003,1,18,883,0,0.0,35391,0.18801390183945071,0.0,9.0
2003,1,19,1398,0,0.0,37738,0.19741374741639728,0.0,10.0
2003,1,20,761,0,0.0,34797,0.19780440842601374,0.0,10.0
2003,1,21,717,0,0.0,33101,0.1918371046191958,0.0,9.0
2003,1,22,823,0,0.0,24383,0.17430176762498462,0.0,8.0
2003,1,23,271,0,0.0,17539,0.16409145333257313,0.0,6.0
2003,2,0,1435,0,0.0,3325,0.19789473684210526,0.0,10.0
2003,2,1,206,0,0.0,592,0.18243243243243243,0.0,7.0
2003,2,2,234,0,1.0,242,0.21074380165289255,0.0,12.0
2003,2,4,286,0,0.0,210,0.10476190476190476,0.0,2.0
2003,2,5,633,0,0.0,3146,0.07056579783852511,0.0,0.0
2003,2,6,633,0,0.0,4125,0.09648484848484848,0.0,2.0
2003,2,7,698,0,0.0,12517,0.11760006391307821,0.0,4.0
2003,2,8,649,0,0.0,19309,0.15246776114765134,0.0,7.0
2003,2,9,625,0,0.0,26197,0.161812421269611,0.0,8.0
2003,2,10,1336,0,0.0,30759,0.1852791053025131,0.0,9.0
2003,2,11,545,0,0.0,31151,0.17957689961798978,0.0,9.0
2003,2,12,1170,0,0.0,29707,0.17978927525499042,0.0,9.0
2003,2,13,603,0,0.0,30285,0.18332507842166088,0.0,9.0
2003,2,14,638,0,0.0,32031,0.18441509787393462,0.0,9.0
2003,2,15,944,0,0.0,29000,0.19155172413793103,0.0,9.0
2003,2,16,427,0,0.0,35205,0.20735690952989633,0.0,11.0
2003,2,17,1124,0,0.0,32977,0.20723534584710557,0.0,10.0
2003,2,18,1223,0,0.0,31022,0.2362516923473664,0.0,13.0
2003,2,19,1202,0,0.0,33295,0.24339990989638083,0.0,14.0
2003,2,20,716,0,0.0,31478,0.2544316665607726,0.0,15.0
2003,2,21,1069,0,0.0,28943,0.23169678333275748,0.0,13.0
2003,2,22,645,0,0.0,21979,0.2346785568042222,0.0,13.0
2003,2,23,747,0,0.0,15893,0.2071352167620965,0.0,10.0
2003,3,0,312,0,0.0,4219,0.19246266887888125,0.0,10.0
2003,3,1,158,0,0.0,692,0.19508670520231214,0.0,10.0
2003,3,2,170,0,5.0,267,0.299625468164794,0.0,19.0
2003,3,4,56,0,0.0,241,0.07053941908713693,0.0,5.0
2003,3,5,1032,0,0.0,3683,0.0977464023893565,0.0,4.0
2003,3,6,883,0,0.0,4840,0.09917355371900827,0.0,3.0
2003,3,7,708,0,0.0,14227,0.09200815351092992,0.0,2.0
2003,3,8,680,0,0.0,22558,0.12102136714247717,0.0,4.0
2003,3,9,1004,0,0.0,29974,0.12674317742043104,0.0,5.0
2003,3,10,878,0,0.0,35817,0.13281402685875424,0.0,5.0
2003,3,11,913,0,0.0,35985,0.13811310268167293,0.0,5.0
2003,3,12,1225,0,0.0,33654,0.13145539906103287,0.0,5.0
2003,3,13,1170,0,0.0,34992,0.13640260631001372,0.0,5.0
2003,3,14,1236,0,0.0,36695,0.13661261752282328,0.0,5.0
2003,3,15,1274,0,0.0,32731,0.15722098316580613,0.0,6.0
2003,3,16,728,0,0.0,40747,0.17628291653373254,0.0,8.0
2003,3,17,1006,0,0.0,37179,0.18451276258102692,0.0,9.0
2003,3,18,1261,0,0.0,35443,0.1984030697175747,0.0,10.0
2003,3,19,742,0,0.0,37691,0.2128624870658778,0.0,11.0
2003,3,20,823,0,0.0,36222,0.21448291093810393,0.0,11.0
2003,3,21,703,0,0.0,33457,0.20468063484472607,0.0,10.0
2003,3,22,1346,0,0.0,25770,0.2069848661233993,0.0,10.0
2003,3,23,809,0,0.0,18454,0.18846862468841444,0.0,9.0
2003,4,0,615,0,0.0,3443,0.11762997386000582,0.0,3.0
2003,4,1,254,0,0.0,783,0.11621966794380588,0.0,4.0
2003,4,2,138,0,0.0,164,0.14634146341463414,0.0,3.0
2003,4,3,3,0,0.0,5,0.0,0.0,3.0
2003,4,4,45,0,0.0,205,0.06341463414634146,0.0,0.0
2003,4,5,758,0,0.0,3449,0.06610611771527979,0.0,1.0
2003,4,6,1454,0,0.0,4738,0.06943858168003376,0.0,1.0
2003,4,7,685,0,0.0,14130,0.06022646850672329,0.0,0.0
2003,4,8,721,0,0.0,22302,0.07864765491884136,0.0,1.0
2003,4,9,1612,0,0.0,29146,0.09713168187744459,0.0,3.0
2003,4,10,1300,0,0.0,33747,0.09799389575369663,0.0,2.0
2003,4,11,462,0,0.0,33579,0.10601864260400846,0.0,3.0
2003,4,12,558,0,0.0,33159,0.1025965801139962,0.0,3.0
2003,4,13,520,0,0.0,32561,0.10586284205030558,0.0,3.0
2003,4,14,483,0,0.0,34031,0.11110458111721666,0.0,3.0
2003,4,15,1494,0,0.0,31194,0.11951016221068154,0.0,4.0
2003,4,16,662,0,0.0,38663,0.134986938416574,0.0,5.0
2003,4,17,1146,0,0.0,36159,0.1428966509029564,0.0,5.0
2003,4,18,769,0,0.0,33882,0.15757629419750901,0.0,6.0
2003,4,19,1050,0,0.0,36510,0.16680361544782252,0.0,7.0
2003,4,20,926,0,0.0,33746,0.16398980619925324,0.0,7.0
2003,4,21,937,0,0.0,29954,0.1468251318688656,0.0,5.0
2003,4,22,724,0,0.0,24957,0.13976038786713146,0.0,4.0
2003,4,23,541,0,0.0,16431,0.12531191041324327,0.0,3.0
2003,5,0,218,0,0.0,3347,0.15835076187630714,0.0,6.0
