yr,mon,arr_hour,delay_type,type_count
2010,1,0,None,2286
2010,1,0,Slight,684
2010,1,0,Moderate,425
2010,1,0,Severe,395
2010,1,1,None,236
2010,1,1,Slight,68
2010,1,1,Moderate,38
2010,1,1,Severe,32
2010,1,2,None,36
2010,1,2,Slight,8
2010,1,2,Moderate,2
2010,1,2,Severe,7
2010,1,3,None,43
2010,1,3,Slight,5
2010,1,3,Moderate,2
2010,1,3,Severe,10
2010,1,4,None,149
2010,1,4,Slight,36
2010,1,4,Moderate,23
2010,1,4,Severe,7
2010,1,5,None,1947
2010,1,5,Slight,501
2010,1,5,Moderate,250
2010,1,5,Severe,147
2010,1,6,None,3276
2010,1,6,Slight,1171
2010,1,6,Moderate,472
2010,1,6,Severe,254
2010,1,7,None,9689
2010,1,7,Slight,3213
2010,1,7,Moderate,1377
2010,1,7,Severe,615
2010,1,8,None,16131
2010,1,8,Slight,4949
2010,1,8,Moderate,2411
2010,1,8,Severe,1044
2010,1,9,None,19092
2010,1,9,Slight,5519
2010,1,9,Moderate,2572
2010,1,9,Severe,1345
2010,1,10,None,23375
2010,1,10,Slight,6697
2010,1,10,Moderate,3331
2010,1,10,Severe,1792
2010,1,11,None,21458
2010,1,11,Slight,6113
2010,1,11,Moderate,3333
2010,1,11,Severe,1831
2010,1,12,None,22649
2010,1,12,Slight,6418
2010,1,12,Moderate,3450
2010,1,12,Severe,2068
2010,1,13,None,22771
2010,1,13,Slight,6666
2010,1,13,Moderate,3730
2010,1,13,Severe,2079
2010,1,14,None,20642
2010,1,14,Slight,6487
2010,1,14,Moderate,3750
2010,1,14,Severe,2266
2010,1,15,None,20335
2010,1,15,Slight,6739
2010,1,15,Moderate,3725
2010,1,15,Severe,2255
2010,1,16,None,23183
2010,1,16,Slight,7788
2010,1,16,Moderate,4397
2010,1,16,Severe,2692
2010,1,17,None,20183
2010,1,17,Slight,6798
2010,1,17,Moderate,4340
2010,1,17,Severe,2844
2010,1,18,None,19769
2010,1,18,Slight,6759
2010,1,18,Moderate,4458
2010,1,18,Severe,3211
2010,1,19,None,19229
2010,1,19,Slight,6502
2010,1,19,Moderate,4307
2010,1,19,Severe,3255
2010,1,20,None,21993
2010,1,20,Slight,6824
2010,1,20,Moderate,4594
2010,1,20,Severe,3558
2010,1,21,None,17177
2010,1,21,Slight,5581
2010,1,21,Moderate,3705
2010,1,21,Severe,3005
2010,1,22,None,14854
2010,1,22,Slight,4637
2010,1,22,Moderate,3114
2010,1,22,Severe,2459
2010,1,23,None,10774
2010,1,23,Slight,3561
2010,1,23,Moderate,2211
2010,1,23,Severe,1650
2010,2,0,None,2124
2010,2,0,Slight,626
2010,2,0,Moderate,451
2010,2,0,Severe,331
2010,2,1,None,182
2010,2,1,Slight,41
2010,2,1,Moderate,47
2010,2,1,Severe,28
2010,2,2,None,34
2010,2,2,Slight,6
2010,2,2,Moderate,1
2010,2,2,Severe,5
2010,2,3,None,16
2010,2,3,Slight,8
2010,2,3,Moderate,8
2010,2,3,Severe,3
2010,2,4,None,201
2010,2,4,Slight,47
2010,2,4,Moderate,21
2010,2,4,Severe,16
2010,2,5,None,1811
2010,2,5,Slight,524
2010,2,5,Moderate,274
2010,2,5,Severe,143
2010,2,6,None,2957
