yr,mon,arr_hour,delay_type,type_count
2010,1,0,None,2100
2010,1,0,Slight,809
2010,1,0,Moderate,470
2010,1,0,Severe,411
2010,1,1,None,231
2010,1,1,Slight,69
2010,1,1,Moderate,44
2010,1,1,Severe,30
2010,1,2,None,31
2010,1,2,Slight,9
2010,1,2,Moderate,6
2010,1,2,Severe,7
2010,1,3,None,43
2010,1,3,Slight,6
2010,1,3,Moderate,2
2010,1,3,Severe,9
2010,1,4,None,158
2010,1,4,Slight,39
2010,1,4,Moderate,13
2010,1,4,Severe,5
2010,1,5,None,1993
2010,1,5,Slight,518
2010,1,5,Moderate,183
2010,1,5,Severe,151
2010,1,6,None,3939
2010,1,6,Slight,736
2010,1,6,Moderate,268
2010,1,6,Severe,230
2010,1,7,None,12052
2010,1,7,Slight,1818
2010,1,7,Moderate,544
2010,1,7,Severe,480
2010,1,8,None,19386
2010,1,8,Slight,3283
2010,1,8,Moderate,1040
2010,1,8,Severe,826
2010,1,9,None,21478
2010,1,9,Slight,4465
2010,1,9,Moderate,1523
2010,1,9,Severe,1062
2010,1,10,None,25346
2010,1,10,Slight,6037
2010,1,10,Moderate,2302
2010,1,10,Severe,1510
2010,1,11,None,22174
2010,1,11,Slight,6149
2010,1,11,Moderate,2630
2010,1,11,Severe,1782
2010,1,12,None,23239
2010,1,12,Slight,6427
2010,1,12,Moderate,2910
2010,1,12,Severe,2009
2010,1,13,None,22683
2010,1,13,Slight,7240
2010,1,13,Moderate,3204
2010,1,13,Severe,2119
2010,1,14,None,20770
2010,1,14,Slight,6872
2010,1,14,Moderate,3326
2010,1,14,Severe,2177
2010,1,15,None,20296
2010,1,15,Slight,7215
2010,1,15,Moderate,3300
2010,1,15,Severe,2243
2010,1,16,None,23019
2010,1,16,Slight,8311
2010,1,16,Moderate,4055
2010,1,16,Severe,2675
2010,1,17,None,19376
2010,1,17,Slight,7831
2010,1,17,Moderate,4145
2010,1,17,Severe,2813
2010,1,18,None,19753
2010,1,18,Slight,7179
2010,1,18,Moderate,4116
2010,1,18,Severe,3149
2010,1,19,None,18577
2010,1,19,Slight,7266
