yr,mon,u_carrier,delay_type,type_count
2010,1,9E,None,7621
2010,1,9E,Slight,3543
2010,1,9E,Moderate,2358
2010,1,9E,Severe,1281
2010,1,AA,None,37925
2010,1,AA,Slight,10681
2010,1,AA,Moderate,5897
2010,1,AA,Severe,3897
2010,1,AS,None,7223
2010,1,AS,Slight,1665
2010,1,AS,Moderate,830
2010,1,AS,Severe,472
2010,1,B6,None,10489
2010,1,B6,Slight,2594
2010,1,B6,Moderate,1993
2010,1,B6,Severe,2166
2010,1,CO,None,17157
2010,1,CO,Slight,6109
2010,1,CO,Moderate,3131
2010,1,CO,Severe,1622
2010,1,DH,None,0
2010,1,DH,Slight,0
2010,1,DH,Moderate,0
2010,1,DH,Severe,0
2010,1,DL,None,50758
2010,1,DL,Slight,14215
2010,1,DL,Moderate,7829
2010,1,DL,Severe,4487
2010,1,EV,None,14988
2010,1,EV,Slight,4115
2010,1,EV,Moderate,2336
2010,1,EV,Severe,1755
2010,1,F9,None,5771
2010,1,F9,Slight,1951
2010,1,F9,Moderate,913
2010,1,F9,Severe,515
2010,1,FL,None,13502
2010,1,FL,Slight,4758
2010,1,FL,Moderate,2590
2010,1,FL,Severe,1429
2010,1,HA,None,202
2010,1,HA,Slight,106
2010,1,HA,Moderate,173
2010,1,HA,Severe,67
2010,1,HP,None,0
2010,1,HP,Slight,0
2010,1,HP,Moderate,0
2010,1,HP,Severe,0
2010,1,KH,None,0
2010,1,KH,Slight,0
2010,1,KH,Moderate,0
2010,1,KH,Severe,0
2010,1,MQ,None,19365
2010,1,MQ,Slight,7452
2010,1,MQ,Moderate,4913
2010,1,MQ,Severe,3298
2010,1,NW,None,0
2010,1,NW,Slight,0
2010,1,NW,Moderate,0
2010,1,NW,Severe,0
2010,1,OH,None,5902
2010,1,OH,Slight,1593
2010,1,OH,Moderate,1236
2010,1,OH,Severe,1033
2010,1,OO,None,25969
2010,1,OO,Slight,11203
2010,1,OO,Moderate,6128
2010,1,OO,Severe,4623
2010,1,TZ,None,0
2010,1,TZ,Slight,0
2010,1,TZ,Moderate,0
2010,1,TZ,Severe,0
2010,1,UA,None,27828
2010,1,UA,Slight,5719
2010,1,UA,Moderate,3192
2010,1,UA,Severe,2474
2010,1,US,None,25137
2010,1,US,Slight,8249
2010,1,US,Moderate,4681
2010,1,US,Severe,2323
2010,1,VX,None,0
2010,1,VX,Slight,0
2010,1,VX,Moderate,0
2010,1,VX,Severe,0
2010,1,WN,None,36949
2010,1,WN,Slight,10640
2010,1,WN,Moderate,6893
2010,1,WN,Severe,4006
2010,1,XE,None,14441
2010,1,XE,Slight,6365
2010,1,XE,Moderate,3451
2010,1,XE,Severe,2254
2010,1,YV,None,10050
2010,1,YV,Slight,2766
2010,1,YV,Moderate,1473
2010,1,YV,Severe,1119
2010,2,9E,None,5752
2010,2,9E,Slight,3140
2010,2,9E,Moderate,2459
2010,2,9E,Severe,1922
2010,2,AA,None,30190
2010,2,AA,Slight,10419
2010,2,AA,Moderate,6308
2010,2,AA,Severe,4619
2010,2,AS,None,6548
2010,2,AS,Slight,1624
2010,2,AS,Moderate,680
2010,2,AS,Severe,384
2010,2,B6,None,8251
2010,2,B6,Slight,3192
2010,2,B6,Moderate,2411
2010,2,B6,Severe,1876
2010,2,CO,None,13765
2010,2,CO,Slight,6068
2010,2,CO,Moderate,3357
2010,2,CO,Severe,1472
2010,2,DH,None,0
2010,2,DH,Slight,0
2010,2,DH,Moderate,0
2010,2,DH,Severe,0
2010,2,DL,None,41503
2010,2,DL,Slight,13728
2010,2,DL,Moderate,8106
2010,2,DL,Severe,5433
2010,2,EV,None,12919
2010,2,EV,Slight,3571
2010,2,EV,Moderate,2306
2010,2,EV,Severe,2355
2010,2,F9,None,4902
2010,2,F9,Slight,2232
2010,2,F9,Moderate,1071
2010,2,F9,Severe,504
2010,2,FL,None,10982
2010,2,FL,Slight,4204
2010,2,FL,Moderate,2627
2010,2,FL,Severe,1790
2010,2,HA,None,208
2010,2,HA,Slight,110
2010,2,HA,Moderate,122
2010,2,HA,Severe,39
2010,2,HP,None,0
2010,2,HP,Slight,0
2010,2,HP,Moderate,0
2010,2,HP,Severe,0
2010,2,KH,None,0
2010,2,KH,Slight,0
2010,2,KH,Moderate,0
2010,2,KH,Severe,0
2010,2,MQ,None,17198
2010,2,MQ,Slight,6557
2010,2,MQ,Moderate,4201
2010,2,MQ,Severe,2918
2010,2,NW,None,0
2010,2,NW,Slight,0
2010,2,NW,Moderate,0
2010,2,NW,Severe,0
2010,2,OH,None,4542
2010,2,OH,Slight,1404
2010,2,OH,Moderate,1107
2010,2,OH,Severe,1059
2010,2,OO,None,25410
2010,2,OO,Slight,10578
2010,2,OO,Moderate,5358
2010,2,OO,Severe,3996
2010,2,TZ,None,0
2010,2,TZ,Slight,0
2010,2,TZ,Moderate,0
2010,2,TZ,Severe,0
2010,2,UA,None,25026
2010,2,UA,Slight,5477
2010,2,UA,Moderate,3103
2010,2,UA,Severe,2255
2010,2,US,None,21461
2010,2,US,Slight,7734
2010,2,US,Moderate,4062
2010,2,US,Severe,1923
2010,2,VX,None,0
2010,2,VX,Slight,0
