yr,mon,u_carrier,delay_type,type_count
2010,1,9E,None,10150
2010,1,9E,Slight,2335
2010,1,9E,Moderate,1282
2010,1,9E,Severe,1036
2010,1,AA,None,36929
2010,1,AA,Slight,11565
2010,1,AA,Moderate,5833
2010,1,AA,Severe,4073
2010,1,AS,None,7604
2010,1,AS,Slight,1521
2010,1,AS,Moderate,594
2010,1,AS,Severe,471
2010,1,B6,None,10729
2010,1,B6,Slight,2635
2010,1,B6,Moderate,1772
2010,1,B6,Severe,2106
2010,1,CO,None,14573
2010,1,CO,Slight,8764
2010,1,CO,Moderate,2961
2010,1,CO,Severe,1721
2010,1,DH,None,0
2010,1,DH,Slight,0
2010,1,DH,Moderate,0
2010,1,DH,Severe,0
2010,1,DL,None,49857
2010,1,DL,Slight,16129
2010,1,DL,Moderate,6901
2010,1,DL,Severe,4402
2010,1,EV,None,16256
2010,1,EV,Slight,3214
2010,1,EV,Moderate,1868
2010,1,EV,Severe,1856
2010,1,F9,None,6197
2010,1,F9,Slight,1692
2010,1,F9,Moderate,799
2010,1,F9,Severe,462
2010,1,FL,None,15089
2010,1,FL,Slight,3740
2010,1,FL,Moderate,2134
2010,1,FL,Severe,1316
2010,1,HA,None,317
2010,1,HA,Slight,132
2010,1,HA,Moderate,63
2010,1,HA,Severe,36
2010,1,HP,None,0
2010,1,HP,Slight,0
2010,1,HP,Moderate,0
2010,1,HP,Severe,0
2010,1,KH,None,0
2010,1,KH,Slight,0
2010,1,KH,Moderate,0
2010,1,KH,Severe,0
2010,1,MQ,None,21623
2010,1,MQ,Slight,6402
2010,1,MQ,Moderate,4258
2010,1,MQ,Severe,2745
2010,1,NW,None,0
2010,1,NW,Slight,0
2010,1,NW,Moderate,0
2010,1,NW,Severe,0
2010,1,OH,None,7405
2010,1,OH,Slight,627
2010,1,OH,Moderate,828
2010,1,OH,Severe,904
2010,1,OO,None,29752
2010,1,OO,Slight,8769
2010,1,OO,Moderate,4955
2010,1,OO,Severe,4447
2010,1,TZ,None,0
2010,1,TZ,Slight,0
2010,1,TZ,Moderate,0
2010,1,TZ,Severe,0
2010,1,UA,None,27109
2010,1,UA,Slight,6404
2010,1,UA,Moderate,3028
2010,1,UA,Severe,2672
2010,1,US,None,28454
2010,1,US,Slight,6971
2010,1,US,Moderate,2993
2010,1,US,Severe,1972
2010,1,VX,None,0
2010,1,VX,Slight,0
2010,1,VX,Moderate,0
2010,1,VX,Severe,0
2010,1,WN,None,27049
2010,1,WN,Slight,18317
2010,1,WN,Moderate,8482
2010,1,WN,Severe,4640
2010,1,XE,None,17555
2010,1,XE,Slight,4512
2010,1,XE,Moderate,2316
2010,1,XE,Severe,2128
2010,1,YV,None,11460
2010,1,YV,Slight,1624
2010,1,YV,Moderate,1202
2010,1,YV,Severe,1122
2010,2,9E,None,7561
2010,2,9E,Slight,2555
2010,2,9E,Moderate,1610
2010,2,9E,Severe,1547
2010,2,AA,None,30452
2010,2,AA,Slight,10886
2010,2,AA,Moderate,5784
2010,2,AA,Severe,4414
2010,2,AS,None,6924
2010,2,AS,Slight,1367
2010,2,AS,Moderate,558
2010,2,AS,Severe,387
2010,2,B6,None,8009
2010,2,B6,Slight,3714
2010,2,B6,Moderate,2196
2010,2,B6,Severe,1811
2010,2,CO,None,12385
2010,2,CO,Slight,8112
2010,2,CO,Moderate,2819
2010,2,CO,Severe,1346
2010,2,DH,None,0
2010,2,DH,Slight,0
2010,2,DH,Moderate,0
2010,2,DH,Severe,0
2010,2,DL,None,39502
2010,2,DL,Slight,16835
2010,2,DL,Moderate,7335
2010,2,DL,Severe,5098
2010,2,EV,None,13298
2010,2,EV,Slight,3363
2010,2,EV,Moderate,2062
2010,2,EV,Severe,2428
2010,2,F9,None,5417
2010,2,F9,Slight,1982
2010,2,F9,Moderate,886
2010,2,F9,Severe,424
2010,2,FL,None,12157
2010,2,FL,Slight,3563
2010,2,FL,Moderate,2230
2010,2,FL,Severe,1653
2010,2,HA,None,307
