yr,mon,dep_hour,delay_type,type_count
2010,1,0,None,564
2010,1,0,Slight,141
2010,1,0,Moderate,42
2010,1,0,Severe,42
2010,1,1,None,247
2010,1,1,Slight,90
2010,1,1,Moderate,27
2010,1,1,Severe,14
2010,1,2,None,31
2010,1,2,Slight,30
2010,1,2,Moderate,23
2010,1,2,Severe,8
2010,1,3,None,1
2010,1,3,Slight,3
2010,1,3,Moderate,0
2010,1,3,Severe,1
2010,1,4,None,24
2010,1,4,Slight,13
2010,1,4,Moderate,7
2010,1,4,Severe,10
2010,1,5,None,3579
2010,1,5,Slight,1143
2010,1,5,Moderate,428
2010,1,5,Severe,197
2010,1,6,None,24528
2010,1,6,Slight,7331
2010,1,6,Moderate,3052
2010,1,6,Severe,1307
2010,1,7,None,24207
2010,1,7,Slight,7461
2010,1,7,Moderate,3605
2010,1,7,Severe,1558
2010,1,8,None,25247
2010,1,8,Slight,7151
2010,1,8,Moderate,3841
2010,1,8,Severe,2033
2010,1,9,None,22065
2010,1,9,Slight,6482
2010,1,9,Moderate,3551
2010,1,9,Severe,1881
2010,1,10,None,21215
2010,1,10,Slight,6898
2010,1,10,Moderate,3818
2010,1,10,Severe,2133
2010,1,11,None,22829
2010,1,11,Slight,7108
2010,1,11,Moderate,4059
2010,1,11,Severe,2285
2010,1,12,None,21133
2010,1,12,Slight,6304
2010,1,12,Moderate,3644
2010,1,12,Severe,2333
2010,1,13,None,22441
2010,1,13,Slight,7751
2010,1,13,Moderate,4340
2010,1,13,Severe,2872
2010,1,14,None,19872
2010,1,14,Slight,6353
2010,1,14,Moderate,3778
2010,1,14,Severe,2525
2010,1,15,None,19511
2010,1,15,Slight,6422
2010,1,15,Moderate,3884
2010,1,15,Severe,2831
2010,1,16,None,20996
2010,1,16,Slight,6798
2010,1,16,Moderate,4379
2010,1,16,Severe,3016
2010,1,17,None,21524
2010,1,17,Slight,6670
2010,1,17,Moderate,4605
2010,1,17,Severe,3570
2010,1,18,None,18750
2010,1,18,Slight,5878
2010,1,18,Moderate,4108
2010,1,18,Severe,3372
2010,1,19,None,17061
2010,1,19,Slight,5485
2010,1,19,Moderate,3789
2010,1,19,Severe,2992
2010,1,20,None,10433
2010,1,20,Slight,3424
2010,1,20,Moderate,2397
2010,1,20,Severe,1897
2010,1,21,None,9043
2010,1,21,Slight,2734
2010,1,21,Moderate,1547
2010,1,21,Severe,1192
2010,1,22,None,4319
2010,1,22,Slight,1521
2010,1,22,Moderate,803
2010,1,22,Severe,581
2010,1,23,None,1657
2010,1,23,Slight,533
2010,1,23,Moderate,290
2010,1,23,Severe,171
2010,2,0,None,473
2010,2,0,Slight,179
2010,2,0,Moderate,58
2010,2,0,Severe,36
2010,2,1,None,347
2010,2,1,Slight,99
2010,2,1,Moderate,37
2010,2,1,Severe,4
2010,2,2,None,26
2010,2,2,Slight,25
2010,2,2,Moderate,20
2010,2,2,Severe,6
2010,2,3,None,0
2010,2,3,Slight,0
2010,2,3,Moderate,0
2010,2,3,Severe,0
2010,2,4,None,12
2010,2,4,Slight,16
2010,2,4,Moderate,12
2010,2,4,Severe,4
2010,2,5,None,3131
2010,2,5,Slight,1144
