yr,mon,dep_hour,delay_type,type_count
2010,1,0,None,570
2010,1,0,Slight,139
2010,1,0,Moderate,31
2010,1,0,Severe,49
2010,1,1,None,297
2010,1,1,Slight,52
2010,1,1,Moderate,17
2010,1,1,Severe,12
2010,1,2,None,73
2010,1,2,Slight,9
2010,1,2,Moderate,5
2010,1,2,Severe,5
2010,1,3,None,2
2010,1,3,Slight,2
2010,1,3,Moderate,0
2010,1,3,Severe,1
2010,1,4,None,33
2010,1,4,Slight,4
2010,1,4,Moderate,8
2010,1,4,Severe,9
2010,1,5,None,4269
2010,1,5,Slight,761
2010,1,5,Moderate,147
2010,1,5,Severe,170
2010,1,6,None,29359
2010,1,6,Slight,4565
2010,1,6,Moderate,1288
2010,1,6,Severe,1006
2010,1,7,None,28018
2010,1,7,Slight,5848
2010,1,7,Moderate,1748
2010,1,7,Severe,1217
2010,1,8,None,27078
2010,1,8,Slight,6952
2010,1,8,Moderate,2543
2010,1,8,Severe,1699
2010,1,9,None,22757
2010,1,9,Slight,6613
2010,1,9,Moderate,2816
2010,1,9,Severe,1793
2010,1,10,None,21776
2010,1,10,Slight,7063
2010,1,10,Moderate,3158
2010,1,10,Severe,2067
2010,1,11,None,23049
2010,1,11,Slight,7451
2010,1,11,Moderate,3468
2010,1,11,Severe,2313
2010,1,12,None,20796
2010,1,12,Slight,6841
2010,1,12,Moderate,3392
2010,1,12,Severe,2385
2010,1,13,None,22506
2010,1,13,Slight,8100
2010,1,13,Moderate,3946
2010,1,13,Severe,2852
2010,1,14,None,18948
2010,1,14,Slight,7204
2010,1,14,Moderate,3782
2010,1,14,Severe,2594
2010,1,15,None,18730
2010,1,15,Slight,7205
2010,1,15,Moderate,3868
2010,1,15,Severe,2845
2010,1,16,None,20207
2010,1,16,Slight,7613
2010,1,16,Moderate,4249
2010,1,16,Severe,3120
2010,1,17,None,20638
2010,1,17,Slight,7600
2010,1,17,Moderate,4618
2010,1,17,Severe,3513
2010,1,18,None,17535
2010,1,18,Slight,6888
2010,1,18,Moderate,4293
2010,1,18,Severe,3392
2010,1,19,None,16015
2010,1,19,Slight,6240
2010,1,19,Moderate,3922
2010,1,19,Severe,3150
2010,1,20,None,10003
2010,1,20,Slight,3637
2010,1,20,Moderate,2503
2010,1,20,Severe,2008
2010,1,21,None,8922
2010,1,21,Slight,2818
2010,1,21,Moderate,1583
